+-------------+------------------+---------------+-----+
| first_name  |    last_name     | birth_country | Age |
+-------------+------------------+---------------+-----+
| Eury        | Perez            | D.R.          | 21  |
| Jordan      | Walker           | USA           | 22  |
| Francisco   | Alvarez          | Venezuela     | 23  |
| Ezequiel    | Tovar            | Venezuela     | 23  |
| Gunnar      | Henderson        | USA           | 23  |
| Anthony     | Volpe            | USA           | 23  |
| Taj         | Bradley          | USA           | 23  |
| Michael     | Harris           | USA           | 23  |
| Wander      | Franco           | D.R.          | 23  |
| Zach        | Neto             | USA           | 23  |
| Brayan      | Rocchio          | Venezuela     | 23  |
| Vaughn      | Grissom          | USA           | 23  |
| Liover      | Peguero          | D.R.          | 24  |
| Julio       | Rodriguez        | D.R.          | 24  |
| CJ          | Abrams           | USA           | 24  |
| Riley       | Greene           | USA           | 24  |
| Simeon      | Woods Richardson | USA           | 24  |
| Ben         | Joyce            | USA           | 24  |
| Corbin      | Carroll          | USA           | 24  |
| Jordan      | Diaz             | Colombia      | 24  |
| Livan       | Soto             | Venezuela     | 24  |
| Ronny       | Henriquez        | D.R.          | 24  |
| Oswald      | Peraza           | Venezuela     | 24  |
| Bobby       | Witt             | USA           | 24  |
| Ivan        | Herrera          | Panama        | 24  |
| Chase       | Silseth          | USA           | 24  |
| Luis        | Garcia           | USA           | 24  |
| Nolan       | Gorman           | USA           | 24  |
| Alek        | Thomas           | USA           | 24  |
| Israel      | Pineda           | Venezuela     | 24  |
| Maikel      | Garcia           | Venezuela     | 24  |
| Gabriel     | Arias            | Venezuela     | 24  |
| Bo          | Naylor           | CAN           | 24  |
| Elvis       | Luciano          | D.R.          | 24  |
| Gabriel     | Moreno           | Venezuela     | 24  |
| Logan       | O'Hoppe          | USA           | 24  |
| Juan        | Then             | D.R.          | 24  |
| Lenyn       | Sosa             | Venezuela     | 24  |
| Triston     | Casas            | USA           | 24  |
| Ryan        | Weathers         | USA           | 25  |
| Mark        | Vientos          | USA           | 25  |
| Jose        | Devers           | D.R.          | 25  |
| Brice       | Turang           | USA           | 25  |
| Miguel      | Vargas           | Cuba          | 25  |
| Grayson     | Rodriguez        | USA           | 25  |
| Brett       | Baty             | USA           | 25  |
| Jordan      | Groshans         | USA           | 25  |
| Roansy      | Contreras        | D.R.          | 25  |
| Matthew     | Liberatore       | USA           | 25  |
| Mason       | Englert          | USA           | 25  |
| Francisco   | Morales          | Venezuela     | 25  |
| Luis        | Patino           | Colombia      | 25  |
| Geraldo     | Perdomo          | D.R.          | 25  |
| Carlos      | Vargas           | D.R.          | 25  |
| Sam         | Bachman          | USA           | 25  |
| Angel       | Zerpa            | Venezuela     | 25  |
| Tucupita    | Marcano          | Venezuela     | 25  |
| Heliot      | Ramos            | P.R.          | 25  |
| Gregory     | Santos           | D.R.          | 25  |
| Spencer     | Torkelson        | USA           | 25  |
| Eguy        | Rosario          | D.R.          | 25  |
| Joe         | Perez            | USA           | 25  |
| Xavier      | Edwards          | USA           | 25  |
| Hunter      | Greene           | USA           | 25  |
| Matt        | McLain           | USA           | 25  |
| Ji Hwan     | Bae              | South Korea   | 25  |
| Jarred      | Kelenic          | USA           | 25  |
| Michael     | Siani            | USA           | 25  |
| Reid        | Detmers          | USA           | 25  |
| Christopher | Morel            | D.R.          | 25  |
| Garrett     | Crochet          | USA           | 25  |
| Shane       | Baz              | USA           | 25  |
| Royce       | Lewis            | USA           | 25  |
| Patrick     | Bailey           | USA           | 25  |
| Ezequiel    | Duran            | D.R.          | 25  |
| Rodolfo     | Castro           | D.R.          | 25  |
| Tyler       | Freeman          | USA           | 25  |
| Deivi       | Garcia           | D.R.          | 25  |
| Bryce       | Elder            | USA           | 25  |
| Brayan      | Bello            | D.R.          | 25  |
| Luis        | Oviedo           | Venezuela     | 25  |
| Brett       | Wisely           | USA           | 25  |
| Max         | Castillo         | Venezuela     | 25  |
| Luis        | Medina           | D.R.          | 25  |
| Canaan      | Smith-Njigba     | USA           | 25  |
| Edouard     | Julien           | CAN           | 25  |
| Jo          | Adell            | USA           | 25  |
| Bobby       | Miller           | USA           | 25  |
| George      | Soriano          | D.R.          | 25  |
| Vladimir    | Guerrero         | CAN           | 25  |
| Max         | Meyer            | USA           | 25  |
| Sherten     | Apostel          | Curacao       | 25  |
| Miguel      | Amaya            | Panama        | 25  |
| Cal         | Mitchell         | USA           | 25  |
| Tanner      | Bibee            | USA           | 25  |
| Oswaldo     | Cabrera          | Venezuela     | 25  |
| Casey       | Schmitt          | USA           | 25  |
| Adrian      | Morejon          | Cuba          | 25  |
| Rafael      | Marchan          | Venezuela     | 25  |
| MacKenzie   | Gore             | USA           | 25  |
| Isaac       | Paredes          | Mexico        | 25  |
| Ryan        | Vilade           | USA           | 25  |
| Esteury     | Ruiz             | D.R.          | 25  |
| Gilberto    | Celestino        | D.R.          | 25  |
| Joey        | Wiemer           | USA           | 25  |
| Kervin      | Castro           | Venezuela     | 25  |
| Brailyn     | Marquez          | D.R.          | 25  |
| Luis        | Ortiz            | D.R.          | 25  |
| Andres      | Munoz            | Mexico        | 25  |
| Fernando    | Tatis            | D.R.          | 25  |
+-------------+------------------+---------------+-----+
